	tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
82944	tt0120589	movie	Arigo	Arigo	0	2020	\N	\N	Drama
179430	tt0346172	movie	Zamaanat: And Justice for All	Zamaanat: And Justice for All	0	2020	\N	\N	Drama,Family,Mystery
186776	tt0368133	movie	The Promise of Perfume	The Promise of Perfume	0	2020	\N	57	Documentary
191774	tt0383477	movie	Love & Orgasms	Love & Orgasms	0	2020	\N	82	Drama
206270	tt0446792	movie	Surviving in L.A.	Surviving in L.A.	0	2020	\N	\N	Comedy,Drama,Romance
207129	tt0451272	movie	Nefarious	Nefarious	0	2020	\N	85	Crime,Thriller
212440	tt0476791	movie	Anywhere Anytime	Kabhi Bhi Kahin Bhi	0	2020	\N	\N	Drama,Romance,Thriller
216703	tt0499097	movie	Tom Clancy's Without Remorse	Without Remorse	0	2020	\N	\N	Action,Adventure,Crime
219810	tt0805647	movie	The Witches	The Witches	0	2020	\N	\N	Adventure,Comedy,Family
222575	tt0849437	movie	Duel of Legends	Duel of Legends	0	2020	\N	\N	Action,Drama,Sport
225599	tt0926132	movie	Road to Red	Road to Red	0	2020	\N	120	Action,Adventure,Horror
228163	tt0983946	movie	Fantasy Island	Fantasy Island	0	2020	\N	109	Adventure,Fantasy,Horror
228889	tt10003008	movie	The Rental	The Rental	0	2020	\N	\N	Horror,Thriller
228895	tt10003618	movie	Kelti	Kelti	0	2020	\N	\N	Drama
228933	tt10005622	movie	Chinese Speaking Vampires	Chinese Speaking Vampires	0	2020	\N	88	Action
228950	tt10006160	movie	Kala azar	Kala azar	0	2020	\N	90	Drama
229144	tt10015802	movie	The Big 3	The Big 3	0	2020	\N	46	Comedy,Documentary
229163	tt10016640	movie	Knots: A Forced Marriage Story	Knots: A Forced Marriage Story	0	2020	\N	76	Documentary
229192	tt10019108	movie	Villa Caprice	Villa Caprice	0	2020	\N	\N	Drama
229272	tt10022990	movie	Seeru	Seeru	0	2020	\N	123	Action,Drama
229273	tt10023022	movie	Clean	Clean	0	2020	\N	\N	Crime,Drama
229274	tt10023024	movie	Love Aaj Kal	Love Aaj Kal	0	2020	\N	142	Drama,Romance
229277	tt10023150	movie	Mon cousin	Mon cousin	0	2020	\N	\N	Comedy
229283	tt10023274	movie	Okavango: River of Dreams - Director's Cut	Okavango: River of Dreams - Director's Cut	0	2020	\N	94	Documentary
229284	tt10023286	movie	The Humans	The Humans	0	2020	\N	\N	Drama
229409	tt10028196	movie	Laal Singh Chaddha	Laal Singh Chaddha	0	2020	\N	\N	Comedy,Drama
229418	tt10028620	movie	List(e)n	List(e)n	0	2020	\N	89	Documentary
229507	tt10032266	movie	Asia	Asia	0	2020	\N	85	Drama
229524	tt10033154	movie	Frightmares	Frightmares	0	2020	\N	\N	Horror
229534	tt10033964	movie	Desert Moon	Desert Moon	0	2020	\N	\N	Horror
229672	tt10038830	movie	Roses: Film-Cabaret	Roses: Film-Cabaret	0	2020	\N	\N	Documentary,Musical
229686	tt10039338	movie	Once a Year on Blackpool Sands	Once a Year on Blackpool Sands	0	2020	\N	\N	Drama
229688	tt10039354	movie	LasseMajas detektivbyrå - Tågrånarens hemlighet	LasseMajas detektivbyrå - Tågrånarens hemlighet	0	2020	\N	\N	Adventure,Family
229693	tt10039524	movie	Luxor	Luxor	0	2020	\N	85	Drama,Romance
229697	tt10039642	movie	Southern Gothic	Southern Gothic	0	2020	\N	\N	Documentary
229735	tt10042590	movie	El verano que vivimos	El verano que vivimos	0	2020	\N	\N	Drama
229770	tt10044040	movie	Revenge for Daddy	Looking for Mr. Wonderful	0	2020	\N	\N	\N
229773	tt10044182	movie	Block Z	Block Z	0	2020	\N	101	Action,Horror,Thriller
229852	tt10047904	movie	Darkling	Mrak	0	2020	\N	\N	Drama
229891	tt10049262	movie	James & Pat & Dave	James & Pat & Dave	0	2020	\N	107	Comedy,Romance
229910	tt10049720	movie	Charlie Hustle	Charlie Hustle	0	2020	\N	\N	Drama
229936	tt10050150	movie	Vaa Deal	Vaa Deal	0	2020	\N	\N	Action
229941	tt10050326	movie	Entree Des Artists	Entree Des Artists	0	2020	\N	20	Romance
229966	tt10051088	movie	Curveball	Curveball	0	2020	\N	\N	Comedy,Crime,Thriller
230020	tt10055284	movie	The Curse of Bryerstone	The Curse of Bryerstone	0	2020	\N	\N	Adventure
230043	tt10056224	movie	Cortex	Cortex	0	2020	\N	\N	Drama,Thriller
230068	tt10058890	movie	Lonesome Boy	Lonesome Boy	0	2020	\N	91	Documentary,Drama,Family
230074	tt10059252	movie	Un hombre alado	Un hombre alado	0	2020	\N	\N	Documentary
230078	tt10059438	movie	Trust Me, I'm Sick	Trust Me, I'm Sick	0	2020	\N	\N	Documentary
230082	tt10059518	movie	Unhinged	Unhinged	0	2020	\N	\N	Thriller
230117	tt10062556	movie	Bhuj: The Pride of India	Bhuj: The Pride of India	0	2020	\N	\N	Action,Drama,History
230121	tt10062614	movie	Guilty	Guilty	0	2020	\N	119	Drama,Thriller
230132	tt10063548	movie	Changing the Devil	Changing the Devil	0	2020	\N	\N	\N
230133	tt10063580	movie	Cyberlante	Cyberlante	0	2020	\N	80	Thriller
230148	tt10064418	movie	Someone Else	Someone Else	0	2020	\N	\N	\N
230173	tt10065694	movie	Antebellum	Antebellum	0	2020	\N	105	Horror,Thriller
230195	tt10066432	movie	Ya ne splyu	Ya ne splyu	0	2020	\N	\N	Horror
230237	tt10068916	movie	Made in Abyss: Dawn of the Deep Soul	Made in Abyss: Fukaki Tamashî no Reimei	0	2020	\N	113	Adventure,Animation,Fantasy
230314	tt10071390	movie	Wonderland Doomsday	Wonderland Doomsday	0	2020	\N	9	Adventure
230443	tt10075442	movie	Classic Again	Classic Again	0	2020	\N	123	\N
230456	tt10075650	movie	Indiana Jones and the Sanctuary of the Black Order	Indiana Jones and the Sanctuary of the Black Order	0	2020	\N	100	Action,Adventure,Romance
230475	tt10077034	movie	Twist	Twist	0	2020	\N	\N	Action,Drama
230481	tt10077544	movie	La boda de Rosa	La boda de Rosa	0	2020	\N	\N	Comedy
230502	tt10078206	movie	VHS Violence II: VHS and KILL	VHS Violence II: VHS and KILL	0	2020	\N	\N	Horror
230528	tt10078904	movie	Los Angeles Shark Attack	Jaws of Los Angeles	0	2020	\N	200	Horror
230532	tt10079028	movie	Celluloid Slaughter	Celluloid Slaughter	0	2020	\N	\N	Horror
230566	tt10079796	movie	The Wasteland of Education	The Wasteland of Education	0	2020	\N	120	Drama,Music
230690	tt10081762	movie	Breaking Surface	Breaking Surface	0	2020	\N	\N	Action,Drama,Thriller
230694	tt10082520	movie	Range of Sniper	Range of Sniper	0	2020	\N	45	Action
230703	tt10083340	movie	Gangubai Kathiawadi	Gangubai Kathiawadi	0	2020	\N	\N	Drama
230709	tt10083868	movie	Bole chudiyan	Bole chudiyan	0	2020	\N	\N	Comedy,Drama,Romance
230731	tt10084832	movie	Nomad	Nomad	0	2020	\N	\N	Adventure,Drama,Romance
230761	tt10086754	movie	Momi's House	Momi's House	0	2020	\N	105	Family
230812	tt10088984	movie	Between Two Worlds	Le quai de Ouistreham	0	2020	\N	\N	Drama
230838	tt10090058	movie	Satria Dewa: Gatotkaca	Satria Dewa: Gatotkaca	0	2020	\N	\N	Fantasy
230841	tt10090114	movie	The Naked Ghost	The Naked Ghost	0	2020	\N	96	Horror
230875	tt10091630	movie	The Oath	Klyatva	0	2020	\N	125	\N
